+---------+-----------+--------+-----------+--------------------------------------------------+
| Unicode | Shift-JIS |  JIS   | Character | Description                                      |
+---------+-----------+--------+-----------+--------------------------------------------------+
| 0x0020  | 0x20      |        |           | SPACE                                            |
| 0x0021  | 0x21      |        | !         | EXCLAMATION MARK                                 |
| 0x0022  | 0x22      |        | "         | QUOTATION MARK                                   |
| 0x0023  | 0x23      |        | #         | NUMBER SIGN                                      |
| 0x0024  | 0x24      |        | $         | DOLLAR SIGN                                      |
| 0x0025  | 0x25      |        | %         | PERCENT SIGN                                     |
| 0x0026  | 0x26      |        | &         | AMPERSAND                                        |
| 0x0027  | 0x27      |        | '         | APOSTROPHE                                       |
| 0x0028  | 0x28      |        | (         | LEFT PARENTHESIS                                 |
| 0x0029  | 0x29      |        | )         | RIGHT PARENTHESIS                                |
| 0x002A  | 0x2A      |        | *         | ASTERISK                                         |
| 0x002B  | 0x2B      |        | +         | PLUS SIGN                                        |
| 0x002C  | 0x2C      |        | ,         | COMMA                                            |
| 0x002D  | 0x2D      |        | -         | HYPHEN-MINUS                                     |
| 0x002E  | 0x2E      |        | .         | FULL STOP                                        |
| 0x002F  | 0x2F      |        | /         | SOLIDUS                                          |
| 0x0030  | 0x30      |        | 0         | DIGIT ZERO                                       |
| 0x0031  | 0x31      |        | 1         | DIGIT ONE                                        |
| 0x0032  | 0x32      |        | 2         | DIGIT TWO                                        |
| 0x0033  | 0x33      |        | 3         | DIGIT THREE                                      |
| 0x0034  | 0x34      |        | 4         | DIGIT FOUR                                       |
| 0x0035  | 0x35      |        | 5         | DIGIT FIVE                                       |
| 0x0036  | 0x36      |        | 6         | DIGIT SIX                                        |
| 0x0037  | 0x37      |        | 7         | DIGIT SEVEN                                      |
| 0x0038  | 0x38      |        | 8         | DIGIT EIGHT                                      |
| 0x0039  | 0x39      |        | 9         | DIGIT NINE                                       |
| 0x003A  | 0x3A      |        | :         | COLON                                            |
| 0x003B  | 0x3B      |        | ;         | SEMICOLON                                        |
| 0x003C  | 0x3C      |        | <         | LESS-THAN SIGN                                   |
| 0x003D  | 0x3D      |        | =         | EQUALS SIGN                                      |
| 0x003E  | 0x3E      |        | >         | GREATER-THAN SIGN                                |
| 0x003F  | 0x3F      |        | ?         | QUESTION MARK                                    |
| 0x0040  | 0x40      |        | @         | COMMERCIAL AT                                    |
